ALB|AL BATEEN ABU DHABI|114000|1|1|195|24438669|54446342|45|OM
ALB|ALBORAN|519000|0|0|195|35938056|-3035278|0|LE
ALB|ALBANY|115300|1|1|195|42747281|-73803183|273|K6
ALB|ALBENGA|116950|1|1|195|44048167|8127611|144|LI
ALC|ALCANTARI|113400|1|1|195|-19267778|-65143056|10259|SL
ALC|ALCANTARA|230000|0|0|195|-2381500|-44399333|0|SB
ALD|AL UDEID|115200|1|1|195|25092761|51325867|105|OT
ALD|ALLENDALE|116700|1|0|195|33012494|-81292233|187|K7
ALD|ALLGAU MEMMINGEN|117200|0|1|195|47988700|10231231|2145|ED
ALD|ALDERNEY|383000|0|0|195|49708869|-2199764|0|EG
ALE|ALEPPO|114500|1|1|195|36179683|37209378|1276|OS
ALE|ALEPPO|396000|0|0|195|36185997|37223297|1276|OS
ALF|ALSTER|115800|0|1|195|53635361|9994089|66|ED
ALG|ALGHERO|113800|1|1|195|40628139|8243889|1453|LI
ALG|ALLGAEU MEMMINGEN|341000|0|0|195|47997381|10262189|0|ED
ALH|PRAYAGRAJ|113300|1|1|195|25443806|81723397|346|VE
ALH|CHERIF EL IDRISSI INTL|110300|0|1|195|35185569|-3842239|79|GM
ALI|ALICE|114500|1|0|195|27739800|-98021342|170|K4
ALI|ALIGARH|117900|1|1|195|27829233|78178453|663|VI
ALI|CAIRO|310000|0|0|195|30166944|31385000|0|HE
ALI|AL-ASHRAF AL NAJAF|114700|1|1|195|31986083|44409056|100|OR
ALJ|ORCA BAY HINCHINBROOK|233000|0|0|195|60479822|-146587431|31|PA
ALM|AL HOCEIMA|115000|1|1|195|35188108|-3837939|1|GM
ALM|AIX LES MILLES|413000|0|0|195|43507778|5366861|343|LF
ALO|WATERLOO|112200|1|1|195|42556497|-92398925|866|K3
ALP|ALEXANDROUPOLIS|351000|0|0|195|40855833|25940869|0|LG
ALP|ALPINE ELMIRA|245000|0|0|195|42238703|-76763972|1287|K6
ALR|ALCANTARA|116700|1|1|195|-2371486|-44397097|168|SB
ALR|DAR EL BEIDA|112500|1|1|195|36690997|3215481|118|DA
ALS|AL-MASSIRA AGADIR|396000|0|0|195|30320361|-9319528|0|GM
ALS|ALAMOSA|113900|1|1|195|37349158|-105815533|7535|K2
ALS|ALSIE|114700|1|0|195|54905414|9993378|0|EK
ALT|AMAMI|115500|0|1|195|28443472|129583400|998|RO
ALT|ALTET|113800|1|1|195|38268278|-570111|197|LE
ALW|WALLA WALLA|116400|1|1|195|46086978|-118292536|1179|K1
ALX|ALEXANDROUPOLIS|113800|1|1|195|40853936|25956733|42|LG
AM|ARBA MINCH|275000|0|0|195|6057692|37602350|0|HA
AM|GIALAM HANOI|294000|0|0|195|20988889|105861389|0|VV
AM|PANDE AMARILLO|251000|0|0|195|35146464|-101805547|3609|K4
AM|ALMERIA|284000|0|0|195|36875833|-2239889|0|LE
AM|BRIE CHAMPNIERS|109350|0|1|195|45729861|226306|420|LF
AM|AMETHYST A1D|366500|0|0|195|53611500|724000|0|EG
AM|KAZAN|475000|0|0|195|55622806|49236083|0|UW
AM|SURGUT|325000|0|0|195|61344167|73504889|0|US
AMB|SANTIAGO|116100|1|1|195|-33419722|-70784444|1558|SC
AMB|AMBERLEY|112500|0|1|195|-27641528|152716111|127|YB
AMB|AMBATO|360000|0|0|195|-1213333|-78576667|0|SE
AMB|AMBOISE|113700|0|1|195|47428917|1064444|387|LF
AMD|DOHA INTL|108500|0|1|195|25271653|51561714|91|OT
AME|KASARI AMAMI|113950|1|1|195|28434717|129711408|43|RO
